1970-01-01,45-01-01
1970-01-02,45-01-02
1970-01-03,45-01-03
1970-01-04,45-01-04
1970-01-05,45-01-05
1970-01-06,45-01-06
1970-01-07,45-01-07
1970-01-08,45-01-08
1970-01-09,45-01-09
1970-01-10,45-01-10
1970-01-11,45-01-11
1970-01-12,45-01-12
1970-01-13,45-01-13
1970-01-14,45-01-14
1970-01-15,45-01-15
1970-01-16,45-01-16
1970-01-17,45-01-17
1970-01-18,45-01-18
1970-01-19,45-01-19
1970-01-20,45-01-20
1970-01-21,45-01-21
1970-01-22,45-01-22
1970-01-23,45-01-23
1970-01-24,45-01-24
1970-01-25,45-01-25
1970-01-26,45-01-26
1970-01-27,45-01-27
1970-01-28,45-01-28
1970-01-29,45-01-29
1970-01-30,45-01-30
1970-01-31,45-01-31
1970-02-01,45-02-01
1970-02-02,45-02-02
1970-02-03,45-02-03
1970-02-04,45-02-04
1970-02-05,45-02-05
1970-02-06,45-02-06
1970-02-07,45-02-07
1970-02-08,45-02-08
1970-02-09,45-02-09
1970-02-10,45-02-10
1970-02-11,45-02-11
1970-02-12,45-02-12
1970-02-13,45-02-13
1970-02-14,45-02-14
1970-02-15,45-02-15
1970-02-16,45-02-16
1970-02-17,45-02-17
1970-02-18,45-02-18
1970-02-19,45-02-19
1970-02-20,45-02-20
1970-02-21,45-02-21
1970-02-22,45-02-22
1970-02-23,45-02-23
1970-02-24,45-02-24
1970-02-25,45-02-25
1970-02-26,45-02-26
1970-02-27,45-02-27
1970-02-28,45-02-28
1970-03-01,45-03-01
1970-03-02,45-03-02
1970-03-03,45-03-03
1970-03-04,45-03-04
1970-03-05,45-03-05
1970-03-06,45-03-06
1970-03-07,45-03-07
1970-03-08,45-03-08
1970-03-09,45-03-09
1970-03-10,45-03-10
1970-03-11,45-03-11
1970-03-12,45-03-12
1970-03-13,45-03-13
1970-03-14,45-03-14
1970-03-15,45-03-15
1970-03-16,45-03-16
1970-03-17,45-03-17
1970-03-18,45-03-18
1970-03-19,45-03-19
1970-03-20,45-03-20
1970-03-21,45-03-21
1970-03-22,45-03-22
1970-03-23,45-03-23
1970-03-24,45-03-24
1970-03-25,45-03-25
1970-03-26,45-03-26
1970-03-27,45-03-27
1970-03-28,45-03-28
1970-03-29,45-03-29
1970-03-30,45-03-30
1970-03-31,45-03-31
1970-04-01,45-04-01
1970-04-02,45-04-02
1970-04-03,45-04-03
1970-04-04,45-04-04
1970-04-05,45-04-05
1970-04-06,45-04-06
1970-04-07,45-04-07
1970-04-08,45-04-08
1970-04-09,45-04-09
1970-04-10,45-04-10
1970-04-11,45-04-11
1970-04-12,45-04-12
1970-04-13,45-04-13
1970-04-14,45-04-14
1970-04-15,45-04-15
1970-04-16,45-04-16
1970-04-17,45-04-17
1970-04-18,45-04-18
1970-04-19,45-04-19
1970-04-20,45-04-20
1970-04-21,45-04-21
1970-04-22,45-04-22
1970-04-23,45-04-23
1970-04-24,45-04-24
1970-04-25,45-04-25
1970-04-26,45-04-26
1970-04-27,45-04-27
1970-04-28,45-04-28
1970-04-29,45-04-29
1970-04-30,45-04-30
1970-05-01,45-05-01
1970-05-02,45-05-02
1970-05-03,45-05-03
1970-05-04,45-05-04
1970-05-05,45-05-05
1970-05-06,45-05-06
1970-05-07,45-05-07
1970-05-08,45-05-08
1970-05-09,45-05-09
1970-05-10,45-05-10
1970-05-11,45-05-11
1970-05-12,45-05-12
1970-05-13,45-05-13
1970-05-14,45-05-14
1970-05-15,45-05-15
1970-05-16,45-05-16
1970-05-17,45-05-17
1970-05-18,45-05-18
1970-05-19,45-05-19
1970-05-20,45-05-20
1970-05-21,45-05-21
1970-05-22,45-05-22
1970-05-23,45-05-23
1970-05-24,45-05-24
1970-05-25,45-05-25
1970-05-26,45-05-26
1970-05-27,45-05-27
1970-05-28,45-05-28
1970-05-29,45-05-29
1970-05-30,45-05-30
1970-05-31,45-05-31
1970-06-01,45-06-01
1970-06-02,45-06-02
1970-06-03,45-06-03
1970-06-04,45-06-04
1970-06-05,45-06-05
1970-06-06,45-06-06
1970-06-07,45-06-07
1970-06-08,45-06-08
1970-06-09,45-06-09
1970-06-10,45-06-10
1970-06-11,45-06-11
1970-06-12,45-06-12
1970-06-13,45-06-13
1970-06-14,45-06-14
1970-06-15,45-06-15
1970-06-16,45-06-16
1970-06-17,45-06-17
1970-06-18,45-06-18
1970-06-19,45-06-19
1970-06-20,45-06-20
1970-06-21,45-06-21
1970-06-22,45-06-22
1970-06-23,45-06-23
1970-06-24,45-06-24
1970-06-25,45-06-25
1970-06-26,45-06-26
1970-06-27,45-06-27
1970-06-28,45-06-28
1970-06-29,45-06-29
1970-06-30,45-06-30
1970-07-01,45-07-01
1970-07-02,45-07-02
1970-07-03,45-07-03
1970-07-04,45-07-04
1970-07-05,45-07-05
1970-07-06,45-07-06
1970-07-07,45-07-07
1970-07-08,45-07-08
1970-07-09,45-07-09
1970-07-10,45-07-10
1970-07-11,45-07-11
1970-07-12,45-07-12
1970-07-13,45-07-13
1970-07-14,45-07-14
